No;username;komentar;pariwisata;kategori
199;arwana tour malang;dari kota malang memakan waktu sekitar 5 jam untuk sampai di 2 berhenti di paltuding pos terakhir mobil boleh parkir. Perjalanan kaki yang melelahkan sekitar 3 ;2;2
200;Mda21;2, suatu tempat yg sangat indah, menhajikan pemandangan alam dan juga para penambang belerang, sesekali anda harus pergi kesana;2;1
201;turker_sidhi;Trip kali ini menguras tenaga untuk saya jalan yang saya lalui benar2 melalui banyak rintangan jalan yang rusak, terjal dan bau menyegat dari belerang. Apabila ingin liburan ke 2 perlu persiapan barang bawaan dan badan yang sehat.;2;2
202;bobby i;suasana yang bikin tenang dan sangat indah untuk dikunjungi ketika di banyuwangi dengan keluarga. mantap;2;1
203;Handi W;Pendakian 2 untuk melihat bluefire dimulai jam 1 malam. Karena banyaknya wisatawan Medan pendakian yang cukup berat tidak terlalu berasa. ;2;3
204;Rudytransport R;Fasilitas di tempat ini sangat kotor kurang di jaga dan tidak terawat ;2;2
205;Jie L;Gunung yang satu ini sungguh luar biasa dengan kawahnya yang menantang... Baru kali ini saya melihat keindahan 2 yang sungguh luar biasa tidak sia-sia perjuangan saya untuk mendaki selama 3 jam;2;3
206;Halid T;"tujuan ke 2 mau liat ""Blue Fire"" tapi sayang... Karena keadaan alam, 2 sedang mengeluarkan gas beracun jadi tidak bisa liat ""Blue Fire"".... ";2;2
207;Rofi;Nice place ,hahahahahahhaahahahahhaahhahahahhahsjsjdjjdjdkdkdkjdjdkdidhdjdjdkjddssdffhsjdjdjkdd #catering #nasipakopet #banyuwangi;2;1
208;East Java S;salah satu destinasi wisata yang cukup menantang karena jalan mau naik dan turun terjal.memiliki daya tarik wisata.;2;2
209;JOSHU4;Awal berangkat dari malang liburan ke banyuwangi ke 2, baru sampai setengah perjalan untuk menanjak hujan jalan sungguh licin ;2;2
210;Leo-anggoro;Ini kedua kalinya saya gunung ijen dan skrg saya bersama rombongan kantor. Meskipun naik ke puncak nya ngos ngosan.. tapi itu semua terbayarkan dengan pesona alam yang kita lihat. Jam 1 start dari loket pembelian tiket dan beberapa kali berhenti termasuk di pondok bunder dan saya sampai di puncak pukul 03.30. Sambil menunggu sunrise bisa duduk2 di pendopo dibibir kawah. Pasti tidak akan rugi kalo kesini.;2;1
211;chika6034;Pendakian sekitar 4km dengan medan menanjak sd 40-an derajat dan utk melihat blue fire turun tebing dengan medan batuan. jaraknya sktr 1km namun waktu tempuh menjadi lama karena medan sulit. ;2;3
212;Yudhi Ismayadi;namanya juga 2, itu artinya harus pake naik gunung tanjakan yang cukup terjal.. tapi jangan khawatir jalanannya cukup besar dan banyak tempat istirahat (plus toilet yang cukup bersih).. bagi yang mau pake motor, tamu bisa sewa motor 75rb di stasiun karangasem, plus sewa perlengkapan.. perjalanan dimulai dari banyuwangi ke daerah paltuding, tempat pintu masuk 2.. tapi jalanan sangat terjal.. have a great journey..!!  ;2;2
213;Otobil;Kali Pahit tidak jauh dari 2 dan masih termasuk wilayah pengelolahan 2 atau Taman Nasional 2. Lokasinya kurang lebih 3 atau 5km dari 2/paltuding camp ground, ke arah Bondowoso. Areanya kecil saja tapi cukup bagus untuk berphoto ria bagi yang memang hopi photo. Hanya sayang, disini teramat banyak coretan tangan jahil yang tidak bertanggung jawab.;2;3
214;madablanc;Tiba di area parkir jalur menanjak cukup curam. Tersedia juga jasa angkutan untuk sampai di puncak dengan biaya +\- Rp 700.000,-.  Toilet tersedia di beberapa pos pendakian. Sayang kurang terjaga kebersihannya.  Sangat di sarankan bawa masker karena bau belerang sangat kuat. Atau anda dapat sewa masker dengan biaya +\- Rp 25.000,-  ;2;2
215;Yono K;Sebenarnya i dah dan sangat langka. Tetapi tantangannya memang dahsyat dan luar biasa.... Utamakan keselamatan.... well prepared is strongly required. Namun jalan menuju kesana rusak;2;2
216;Rodli F;untuk mendapatkan pemandangan yang indah, perlu perjuangan untuk berjalan kaki sejauh 3Km dan juga jalan yang nanjak. namun tak perlu hawatir, karena ada ojek gendong yang akan menghantarkan anda ke atas puncak.;2;3
217;Agus P;2 sangat menarik apalagi kalau cuacanya cerah, akan terlihat jelas kawah danau belelarangnya. Sepanjang pendakian biasanya banyak penambang yang sedang membawa belelarang.;2;1
218;anricia;Anda bisa mulai hiking pada jam 1 pagi dan tiba di lokasi kawah 3-4 jam kemudian. Yang perlu Anda perhatikan adalah masker yang digunakan harus yang tepat, jangan yang hanya terbuat dari kertas karena bau belerang akan sangat menusuk bagi yang tidak terbiasa. Tangga menuju ke bawah sangat terjal dan berbahaya, jadi pastikan Anda memakai sepatu yang tepat dan aman. Pastikan juga Anda sampai di kawah sebelum matahari terbit untuk menikmati si api biru. Di sepanjang perjalanan Anda akan bertemu dengan penambang belerang yang gagah berani.;2;3
219;omahsundak;tidak perlu waktu lama untuk naik ke 2 sekitar 2 jam perjalanan.dan medannya pun tidak terlalu sulit.kalo ndak kuat untuk jalan kaki jangan khawatir banyak taxi di2.____;2;3
220;Ryn J;Jalan menuju 2 sudah sangat tidak bagus. Di area pendakian bila tidak sanggup trekking ada banyak yg menawarkan kereta angkut, dengan di dorong 1 orang Dan ditarik 2 orang untuk mendaki, harga tawar menawarkan Dr 300-500 rb an;2;3
221;Khoirul A;untuk liburan yang menyenangkan, langsung saja ke banyuwangi, ada blue fire yang hanya ada dua di dunia dan pantai-pantainya yang sangat indah.;2;1
222;febri77;"Ijen, terletak di kab bondowoso jawa timur. Utk mencapai puncak kita harus mendaki skitar 3jam , dgn kemiringan 40-80"" __. Yang menarik, di sini kita bisa menikmati 3 fenomena skaligus (dg catatan cuaca cerah), blue fire__, fenomena api biru abadi yg hanya bisa dinikmati di 2 negara di dunia (Indonesia dan Islandia), sunrise yg muncul malu2 dibalik bukit.";2;3
223;Erma1412;Kalau di searching di google, kita akan tahu bahwa 2 merupakan objek wisata yang langka di dunia. Karena hanya ada 2 negara yang memiliki fenomena ini. Untuk  rutin berolahraga dan mempersiapkan fisik yang prima. Kalau tidak, nanti yang ada seperti saya, begitu naik kepala saya langsung drop, apalagi kalau cuaca sedang musim hujan.  Disarankan kesana saat musim kemarau, karena lebih banyak memiliki kesempatan untuk melihat bluefire ketimbang saat musim hujan. Namun bluefire juga hanya bisa dilihat kisaran pukul 3-4 pagi. ;2;3
224;Hidayat Ahmad;Akses menuju 2 dari Surabaya Menggunakan Kendaraan Bus Umum Dari terminal Purabaya Bungurasih Surabaya-Sidoarjo, Anda langsung saja menuju naik bus Jurusan Banyuwangi via Jember. Perjalanan kurang lebih selama 8 jam dari Surabaya ke Banyuwangi. Dan Anda turun di Terminal Brawijaya Karangente Banyuwangi Kota. Dari sini Anda kami rekomendasikan menggunakan jasaÊcarter mobiluntuk menuju ke Pos Paltuding.Menggunakan Kendaraan Kereta Api Dari stasiun Gubeng Surabaya, Anda bisa langsung naik kereta jurusan ke Banyuwangi dan turun di stasiun Karangasem Banyuwangi Kota (bukan stasiun Banyuwangi Baru, Ketapang). Perjalanan kurang lebih selama 7 jam dari Surabaya ke Banyuwangi. Dari sini Anda kami rekomendasikan menggunakanÊjasa carter mobilÊuntuk menuju ke Pos Paltuding.Menggunakan Pesawat Terbang Dari Bandara Juanda Surabaya-Sidoarjo, Anda bisa langsung naik pesawat terbang jurusan Bandara Blimbingsari, Banyuwangi. Perjalanan kurang lebih selama 45 menit dari Surabaya ke Banyuwangi. Dari sini Anda kami rekomendasikan menggunakan jasaÊcarter mobiluntuk menuju ke Pos Paltudin;2;3
225;Ibnu Makhbubah;pas sampe atas kesiangan jadi gak sempet liat blue fire. hiks. padahal tujuan utama sih itu, tapi karena suatu hal jadi telat. suatu saat bakal balik lagi mungkin pake travel. ohiya kegagalan kedua adl gak sempet turun deket kawah padahal keren abis. huhu;2;1
226;dida d;tolong yang mau kesini sampahnya di bawa turun lagi jangan di tinggal di atas;2;2
227;MULKANHAMID;Untuk masuk ke 2 tiket masuk Rp. 5rb/orang, bayar biaya parkir Mobil Rp.10rb, tiket di buka jam 1 malam, tanjakan cukup menantang. Di km 2 terdapat kantin dan penyewaan masker, sewa masker 25 rb, sebaiknya anda menyewa masker.;2;3
228;didin440;"2 sungguh sangat mempesonakan saya.ketika saya berdiri di salah satu sudut bibir kawah ini rasanya ingin terus berlama-lama di tempat dimana saya berdiri.Sesaat saya mengagumi tempat yang di buat oleh Sang Pencipta Allah Subehanallohu Wata'ala ini. Serasa saya Sendirian di alam yang maha luas ini mungkin karena luas yang begitu besar area 2 ini, Mungkin karena itulah Tempat ini di beri nama 2 . Ijen adalah bahasa Jawa yang artinya ""Sendirian"" padahal lebih dari 100 pengunjung dalam sehari baik wisatawan domestik maupun Internasional. Kawasan ini adalah kepundan kawah gunung yang berada di puncak tertinggi gunung Ijen. untuk meraih tempat saya berdiri saat itu bisa di mulai dari Kota Banyuwangi menuju desa Jambu.Sekarang Pemerintah Daerah Banyuwangi sudah menata potensi wisata ini dg baik. Kita tidak perlu bersusah payah mendaki gunung yg harus menginap semalam untuk sampai di kepundan. Cukup naik kendaraan wisata atau umum yg sudah di sediakan sampai di area parkir Paltoding. dari sini kita sedikit jalan kaki ke atas puncak kawah atau kalau beruntung bisa sewa kuda yg sengaja disewakan oleh penduduk sekitar. Saya boleh katakan Tempat ini bisa dinikmati dari waktu ke waktu. Bila pagi sekitar jam 04.30 waktu setempat kita bisa menikmati pemandangan eksotik Matahari terbit yang indah dan pemandangan indah di sekeliling kawah. Kalau siang kita bisa lihat kegiatan para petani/penambang belerang di sudut kiri dalam kawah tau kalau kebetulan aman dan diperbolehkan petugas pengawas wisatawan kita bisa mengabil air hangat genangan kawah yang mengandung belerang untuk mandi disitu, katanya sangat baik untuk kesehatan kulit kita. Kalau malam kita bisa menikmati ""Blue moon"" yang sebenarnya pijaran api unik yang berasal dari lubang sumber tambang belerang. Kalau Lelah kita bisa mencari beberapa penginapan di sekitar wisata 2. Saran saya bagi para wisatawan untuk sediakan Jaket Tebal karena Suhu Udara di puncak Ijen berkisar antara 2-10 drajat celsius di musim kemarau dan 5 - 18 drajat celsius di musim hujan. Saya jamin bagi anda yang suka berwisata pegunungan pasti ingin berlama2 di 2 ini dari beberapa tempat wisata pegunungan yang pernah saya kunjungi, 2 adalah pilihan yang paling indah dan mengesankan. selamat berwisata.";2;1
229;Exploration692345;Setelah berjalan jauh dri bawah menuju ke atas puncak antara 8-9 kilo meter dgn susah payah,percaya dech kalian gk bakalan rugi banget klok udh nyampek puncaknya dn turun sedikit kebawah buwat lihat kawah yg indah dn blue fire nya yg sangat menawan banget yg cuman ada 2 ajha d dunia ini;2;3
230;fadillapermatsari;saya berangkat pukul 12 malam dari penginapan di banyuwangi sampai di ijen pukul 1 dini hari dan ternyata sedang geriis disana. pendakian saya mulai pukul 01.30 dan saya sampai dipuncak ukul 3.30 pagi butuh waktu 2 jam bagi saya untuk sampai ke puncak karena saya berjalan pelan-pelan dan banyak istirahat. sampai di puncak apabila ingin melihat harus turun lagi dan hal tersebut memerlukan waktu sekitar 30 menit. untuk turun maupun naik kembali dari kawah harus dilakukan secara hati2 karena medannya bebatuan terjal dan licin.  tersedia guide lokal disana. dan juga ada troli yang bersedia mengangkut anda sampai ke puncak. biaya troli sekitar 600ribu pp/orang. biaya guide ke kawah 100-150 rb/orang. sayangnya guide lokal disana sangat sedikit yang bisa berbicara bahasa inggris.;2;3
231;HerlinaAzzahra;Trekking ke Ijen biasanya hanya memakan waktu 2 jam, tergantung fisik. Tapi saya memerlukan lebih dari 3 jam karena banyak berhenti di perjalanan. Gerbang dibuka pukul 12 pagi sampai 12 siang pada waktu normal. ;2;3
232;ghanimtqn;Pendakian tidak terlalu susah. Disarankan mendaki jam 2 pagi. Diharap membawa masker gas karena disana disewakan cukup mahal seharga 20-25 rb rupiah. Tiket masuk hanya Rp 7500 dan untuk turis Rp 150.000.;2;3
233;Fitrirchma;pendakian di Ijen dibuka dari jam 12 malam hingga jam 12 siang. ;2;3
234;Rony_Saputra;setelah membeli tiket kami mulai melangkah melewati gerbang tepat jam 03.00.. selangkah demi selangkah.. dengan napas yang mulai ngos-ngosan.. dalam hati berkata : kapan nyampe nya??? naik cuman berdua dengan driver sekaligus guide. ;2;3
235;Harib F;Beberapa kali saya ke kawah ini, dan selalu takjub. Butuh perjuangan memang untuk dapat sampai ke puncaknya. Dengan kecepatan sedang butuh waktu kurang lebih 1-2 jam. Jika ingin melihat blue fire sebaiknya naik sekitar jam 2 pagi. Semua kelelahan karena naik gunung terbayar di puncak. Blue fire yang cantik, kawah yang super indah, dan sunrise yang istimewa. Sangat tak ternilai.;2;1
236;muhammadarif989;Gunung ijen yg terkenal dengan Blue fire atau api biru yg selalu menyala sepanjang tahun ini terletak di banyuwangi,,untuk menikmati blue fire biasanya kita harus memulai pendakian pada tengah malam dengan waktu tempuh lebih kurang 2 jam perjalanan dengan jalur yg sudah mudah dilalui semua usia namun kita ditemani bau belereng yg menyengat,untuk itu jangan lupa bawa jaket dan masker khusus yaaa;2;3
237;afandi s;2 adalah salah satu destinasi di indonesia;2;1
238;DuniaNana;Sepertinya sudah banyak yang mengulas 2 dengan blue firenya . Padahal panorama saat menuju Ijen tidak kalah menarik . Sengaja kami berangkat di pagi hari karena memang mau sampai Ijen siang . Pegunungan, ladang hijau dan penduduk yang ramah bikin saya jatuh cinta dengan daerah ini . Untuk ukuran tempat wisata yang terpencil, jajan di warung ijen tidak mahal . Untuk yang tidak bisa jauh dari gadget dan sosmed, jangan khawatir kita bisa ber wifi an dengan membayar 10 ribu per jam nya . Wifi menjadi sangat penting karena jaringan yang kita biasa pakai di handphone tidak akan bisa aktif di Ijen . Untuk yang mau bermalam di Ijen disediakan tenda yang berbayar juga . Saran saya kunjungi Ijen saat bukan musim liburan karena kalau ga siap-siap bawa tenda sendiri ya .. yang mau ke Ijen dengan motor sebaiknya gunakan motor khusus karena kalau motor biasa butuh extra tenaga dan kewaspadaan yang tinggi karena track menuju Ijen berliku dan penuh dengan tanjakan curam . Ternyata ada banyak yang ditawarkan oleh Ijen selain Blue Fire :));2;3
239;Donna R;Untuk melihat yg luar biasaa butuh perjuangan yg luar biasa pulak,trutama buat yg g pernah naik gunung spt saya,tanjakan yg curam butuh tenaga buat mendaki,asap belerang yg menyengat,cuaca yg dingin 10¡-18¡, kaki pegal badan kedinginan, jika anda mengincar blue fire maka hrs cepat naik trutama jika jalur pendakian baru dibuka jam 3 pagi krn klo tidak cpt tidak akan bs melihat blue fire spt sya kemarin sayang sekali tidak bs melihat blue fire krn jalur pendakian baru dibuka jam 3 dan saya pendaki amatir baru pertama kali naik gunung butuh 2 jam sampe sana jam 5 pgi dan tidak bisa melihat blue fire...tpi tidak apa2 krn keindahan kawah ttp sempurna untuk dilihat..amazingg laahh;2;3
240;Puput;Bau asap yang menyengat apalagi berbabhaya jika tidak membawa masker ;2;2
241;TikoDF;Perjalanan dari kota Banyuwangi ke Basecamp Paltuding (Basecamp 2) sekitar 1-2 jam dengan traffic yang cukup lancar. Sesampai kita di pos bawah, kita akan dimintai retribusi untuk masuk kawasan dan kendaraan yang kita bawa.  Untuk tiket masuk wisatawan lokal kita akan dikenai biaya Rp 5.000 untuk weekdays dan Rp 7.500 untuk weekend. Sedangkan wisatawan asing dikebakan biaya Rp 100.000 untuk weekdays dan Rp 150.000 untuk weekend.  Jika kita ingin melihat 'Blue Fire' dari 2, paling tidak kita harus sudah sampai di Basecamp pukul 23.00, sehingga kita bisa istirahat sejenak dan mengisi perut di warung-warung yang berada di basecamp sebelum trekking.  Pendakian baru dibuka oleh pengelola pada pukul 01.00 dini hari. Perjalanan yang di tempuh sekitar 3 Km dengan durasi sekitar 1 - 1,5 jam untuk sampai ke puncak. Medan yang ditempuh juga cukup curam dengan kemiringan sekitar 25-35 derajat.  Sesampai di puncak, anda akan mencium bau belerang yang sangat kuat, dan banyak penambang menawarkan untuk menyewa masker jika ingin melihat 'Blue Fire'. Saya sarankan, sewa saja! untuk safety. Hanya Rp 25.000 saja anda bisa aman untuk melihat 'Blue Fire'. Anda harus turun ke dalam kawah lagi sekitar 700 meter dengan jalan yang terjal. Waktu terbaik untuk melihat 'Blue Fire' sekitar pukul 02.00 - 04.00.  Hati-hati, jangan terlalu lama di dalam kawah karena asap belerang akan mengganggu pernafasan dan mata anda walaupun sudah mengenakan masker. Segera naik jika anda merasa sudah tidak nyaman atau kekurangan oksigen.;2;2
242;melirahayu;Sekitar 9 Bulan yang lalu saya mendapatkan kesempatan untuk mengunjungi2 di banyuwangiÉ;2;3
243;Gracemnc;Tertarik untuk melihat api biru, kami ke 2. Karena tidak mengetahui jadwal, ternyata loket ditutup jam 12 malam sampai jam 1 pagi, sehingga baru bisa mulai hiking setelahnya. Trackingnya sudah nyaman dan bukan alam belantara, sayangnya banyak pengunjung membuang sampah sembarangan, tidak ada informasi apapun yang mengingatkan untuk menyimpan sampah sampai kembali ke bawah lagi. ;2;2
244;khanidmafula;2 dibuka tengah malem sekitar jam 1 sampai 2, nah ditutup jam 12 siang karena belerangnya mulai naik, daripada keracunan kan nantinya. pas kesana kedua, ga bawa persiapan apa-apa.;2;3
245;rosidah;salah satu tempat yang paling menantang yang penah saya kunjungi melewati jalan yang susah payah..;2;2
246;Agung Chrisnayanto;Obyek alam yang bagus dan menantang di daerah Banyuwangi, Jawa Timur, pesona alam yang luar biasa. Disarankan melakukan persiapan, terutama fisik yang baik, karena membutuhkan energi untuk mencapai puncak Ijen dari pos registrasi Paltuding, terutama untuk para orang- orang tua. Di pos Paltuding prasarana masih sederhana terutama untuk toilet, kamar mandi dan tempat ibadah bagi muslim tidak terawat.;2;1
247;sabilalfareza;Salah satu destinasi wajib buat yang datang ke banyuwangi, rekomendasi naik jam 1 biar sampe di atas sebelum matahari kelihatan, ada fenomena api biru yang terkenal itu.;2;3
248;lindahwhyuni;MENurut saya fasilitasnya kurang perlu di benahi kembali ;2;2
249;Rianurie;Jika pengen melihat blue fire harus mulai treking tengah malam, Sekitar pukul 1 atau 2 malam. Waktu treking sekitar 2 jam atay lebih tergantung kondisi fisik masing masing individu.;2;3
250;Suriadi C;Fisik harus dipersiapkan terutama orang tua. Rata - rata jalan menanjak dan ada yang cukup tinggi dengan bagian tertentu berpasir sehingga mudah terpeleset. Perjalanan ke puncak sekitar 2 jam. Jika ingin melihat api biru ( blue fire) di kawah sebaiknya menggunakan jasa guide lokal yang banyak terdapat disana. Jangan lupa menyewa atau menggunakan masker khusus untuk mencegah terhirup asap belerang. ;2;3
251;kasuma y;Suatu kebanggaan bisa ke 2... LelahtTrekking kesana, terbalas sudah dengan keindahan Ijen yang tiada duanya... ;2;1
252;rommyroperta;sungguh luar biasa dapat menyaksikan blue fire dari dekat dan hanya 2 di dunia. diperlukan fisik yang kuat dan perbekalan yang secukupnya.;2;1
253;cantiquelma;keunikan dari pemandangan yg tidak ada ditempat lain merupakan tujuan utama para pendaki. rela bersusah payah hanya demi blue fire dan danau kawah hijau nan indah disana;2;1
254;UniePutri;Mendaki k atasnya buat smpai puncak cukup dua jam,jgn lupa bwa masker ya ..loket tiket bukanya jam 00-12 siang .. Kalau lagi beruntung bisa dapet bluefirenya ..sarannya sih jam3 pgi harus sudah d puncak kalo mau dapat blue fire ..spot sunrise juga ad disini ,tp harus jalan kaki lagi sekitar 1 jam . melewati pepohonan yang seperti bekas terbakar ,spot terbaik buat foto ...;2;3
255;Sandi H; Jika anda memulai dari st karang asem +/- 32km jarak yang perlu di tempuh. Untuk menuju ke 2 terlebih dahulu anda harus menuju ke kec licin, di pos ini anda akan diminta biaya retribusi sebesar Rp.3000, setelah itu di lanjut lagi menuju pos paltuding. Ini pos terakhir untuk kendaraan, untuk selanjutnya dilalui dengan berjalan kaki. Untuk karcis pengunjung di kenakan Rp.5000/ orang dan Rp.5000 untuk kendaraan roda 2. Karena pos masuk 2 baru buka jam 01.00 di pos paltuding ini juga anda bisa bermalam dengan mendirikan tenda. Dari paltuding menuju bibir kawah diperlukan waktu 1,5 - 2,5 jam tergantung fisik tiap2 orang. ;2;3
256;Jejak Gufron;butuh fisik dan mental yang kuat mendaki gunung ijen. Apalagi buat kamu yang ingin menyaksikan blue fire. Mendaki sejauh 3 km dan menghabiskan waktu sekitar 2 jam.;2;1
257;Tarmuji K;2 yang terletak di Gunung Ijen kelihatannya kurang atau belum begitu populer di kalangan wisatawan, Memang untuk berwisata di kawasan ini harus mempunyai fisik dan kamauan yang kuat, karena untuk menuju lokasi kawah harus berjalan kaki mendaki gunung berkelak kelok sejauh -/+ 3 Km dan harus dini hari (jam 3-4 pagi) dengan hawa yang dingin sekali. Kali naik mobil kita bisa berhenti di pos namanya Paltuding, baru dari situ kita harus berjalan kaki. ;2;3
258;Ilham Nurherdiawan;perjalanannya melelahkan tapi setelah sampai diatas sungguh indah dan luarbiasa.. sepanjang perjalanan pun disuguhkan dengan pemandangan yg tidak biasa. wajib dicoba. jangan datang kesini siang menjelang sore karena kabut sudah turun dan asap belerang yg berbahaya pun sudah naik ke daratan;2;1
259;Ersananda;kawah sangat indah dengan pancaran bluefire yang sangat memukau disertai pemandangan danaunya, pendakian tidak terlalu sulit, better Time to climb around 00:00am;2;1
260;shintayus;2 adalah salah satu tempat dibanyuwangi, perjalan menuju dari arah surabay membutuhkan waktu sekitar 8 jam perjalan ;2;3
261;Faridlotun Nisak;Ini ada di 2 Banyuwangi, area pendakian sebelum mencapai kawah É;2;3
262;ijenbambootrans;Transport kendaraan lebih murah aman tenang dan nyaman. Serta menyediakan tempat peristirahatan yang nyaman tenang dan paling murah di bandingkan yang lain;2;1
263;bagasuari;Saya melakukan perjalanan ke kawasan 2 melalui Bondowoso. Sayangnya, infrastruktur jalan cukup buruk.  Meskipun perjalanan ke puncak hanya 3 km dengan trek landai dan lebar, namun cukup menguras tenaga. Trek cukup menantang saat hampir mencapai puncak. Waktu tempuh jalan santai menuju puncak kurang lebih 1,5 jam. ;2;3
264;maboeh;Saya pertama kali melakukan pendakian ke 2..pemandangannya luar biasa..tip bagi yg akan naik ke atas, berusaha untuk ke toilet dahulu sblm naik, karna selama perjalanan ke atas dan tmpt persinggahan, tidak tersedia wc..respirator dipergunakan hanya kalau berminat turun ke kawah, karna belerang tidak terlalu mengganggu kalau pendakian.;2;3
265;irham nur prase... W;waktu paling untuk mengunjungi 2 adalah pada pukul 3-4 pagi. Perjalanan dimulai dari basecamp pendakian paltuding yang berjarak kurang lebih 30km dari pusat kota Banyuwangi. Pendakian membutuhkan waktu 2-3 jam. Apabila beruntung maka kita dapat melihat blue fire yang ada di dekat kawah. Saat mendaki kita akan sering berpapasan dengan penambang belerang yang membawa belerang dengan cara dipanggul maupun didorong menggunakan gerobak.;2;3
266;rizalseptianputra;Tempat wisata yang sangat jauh dan melelahkan;2;2
267;lilwow;Jarak tempuh dari kaki gunung ke kawah kurang lebih 2 jam. Pendakian biasanya dilakukan di malam hari supaya kita bisa liat blue fire yang terkenal itu. Waktu sudah pagi dan pemandangannya mulai keliatan, Amazing..berasa seperti di planet mana ya __;2;1
268;yuliawiguno;Tempatnya panas san benar benar biasa aja... Ada jasa pengantaran ke atas gunung pakai gerobak yg di tarik dan di dorong oleh warga setempat... ;2;2
269;LannySS;Hampir semua pengunjung yang menuju 2 mempunyai satu tujuan Ğ melihat blue fire. Yang konon di dunia ini hanya ada 2, satu di Islandia dan satu lagi di Ijen. Untuk menuju ke 2, kita harus start dari Paltuding sekitar pukul 01.30 dini hari agar kita masih bisa melihat Òblue fireÓ karena blue fire sudah tidak akan kelihatan lagi sekitar pukul 04.30, ketika cuaca mulai terang. Meskipun jarak dari Paltuding (starting point) sampai ke 2 hanya 3 km, akan tetapi karena jalanannya menanjak, dilakukan tengah malam dan cuaca yang lumayan dingin diperlukan waktu sekitar 2-3 jam untuk dapat mencapai kawah dengan jalan kaki santai. Karcis masuk TWA 2 Ğ Rp. 5000,-/orang. Disamping itu jangan lupa membawa air minum. Di perjalanan tidak tersedia toilet, jadi ada baiknya jika mau berangkat dapat ke toilet terlebih dahulu di Paltuding. Sekitar 2 km dari Paltuding terdapat tempat penimbangan belerang, kita dapat beristirahat sejenak disana, dengan minum teh/kopi hangat, bahkan tersedia juga ÒPop MiÓ ataupun pisang goreng. Harga menurut saya juga cukup reasonable untuk daerah wisata. Rp. 10.000,--/cup untuk Pop Mie, Pisang goreng @ Rp. 2.500,-- Apabila anda terlambat berangkat, takut kecapaian tapi tetap ingin melihat blue fire, anda dapat menyewa taxi ala Ijen, yang tidak lain adalah gerobak. Biaya sewa dari Paltuding untuk naik sekitar Rp. 600.000,- /gerobak- dan turun berkisar Rp. 200.000,- /gerobak. ÒtaxiÓ ini bisa anda temui sepanjang jalur menuju kawah.;2;3
270;tepe_el;Trekking untuk menuju 2 biasanya dilakukan tengah malam, karena kebanyakan para wisatawan memburu blue fire. Selai itu, trekking tengah malam juga berguna untuk menghindari naiknya asap belerang yang akan sedikit naik jika hari semakin siang. Jadi memang waktu terbaik untuk trekking yaitu tengah malam. Kalian perlu membawa masker untuk mengurangi terhirupnya bau belerang dari kawah itu sendiri. Selama perjalanan kalian sesekali akan bertemu dengan para penambang lokal. Saya sarankan untuk berhati-hati dengan para penambang tersebut. Mereka bukan kriminal, tetapi mereka bisa berubah menjadi tour guide dadakan, yang akhirnya akan meminta bayaran dari jasa bayangan mereka. Yah, kalau kalian ingin berbagi rezeki tentu tidak masalah. Alas kaki sebaiknya menggunakan yang cocok untuk trekking agar tidak licin. Jangan berlari saat trekking turun, karena tekstur tanah yang berupa pasir akan mudah terbawa angin jika kalian lari dan merugikan para penambang. Para penambang juga menjua cindera mata berupa belerang dengan berbagai bentuk. ;2;3
271;slilwow;Seperti di planet lain;2;3
272;cahayanl;Jalan menuju 2 ini sangat sulit butuh perjuangan saat pendakian banyak rintangan yang harus dilalui dengan bau menyengat dari belerang dan kemiringan saat menanjak kurang direkomendasikan pada orang yang memeiliki penyakit asama karena sangat beresiko;2;2
273;yassin;Luar biasa. Kawah luas membentang dengan pemandangan sepanjang jalan yang benar2 keren. Walaupun jalan naiknya agak licin, tapi tetap saja menyenangkan.;2;1
274;Bismatofa;Wisata 2 merupakan satu satunya objek wisata gunung di banyuwangi, Jika Anda berniat berkunjung ke lokasi wisata 2 bisa melalui rute perjalanan menuju ijen dari kota malang,kota surabaya maupun kota banyuwangi.  Rute dan jalur perjalanan menuju lokasi ijen dari malang dan surabaya bisa di tempuh dengan jalan darat selama 6-7 jam jika jalan normal tanpa ada kendala kemacetan,namun jika anda menuju lokasi ijen dari banyuwangi bisa ditempuh dengan berkendara selama 1-2 jam.  ;2;3
275;Aprilia Ryti;Jam 1 malam saya dan rekan kerja naik ke Ijen untuk berlibur ke 2. Saya pikir ah paling juga tidak begitu ramai, karena sebelumnya hujan. Ternyata tetap ramai sekali. Banyak pengunjung dari luar kota seperti Bandung, Jakarta, Bali, bahkan banyak wisatawan asing. Cuaca hujan membuat medan menanjak menjadi licin, maka pastikan Anda kesana menggunakan sepatu/sandal gunung. Perjalanan mencapai Puncak sekitar 1 jam, dan 15 menit menuju kawah. Di atas gunung banyak pemandu yang menawarkan sewa masker, harganya 25rb. Jika Anda tidak ingin sewa pastikan sudah bawa masker gas dari rumah.;2;3
276;sandralugiana;"Keren banget nih 2. Untuk ke sini, disarankan sudah sampai di basecamp dini hari (kita kemarin jam 1 pagi sudah mulai naik) supaya bisa lihat ""blue fire"". fenomena yang unik, katanya hanya ada 2 di dunia. Jangan lupa bawa atau sewa masker, soalnya pas asap nya ke atas, baunya ""nyengak"" banget dan berbahaya kalau sampai terhirup. Blue fire akan berhenti sekitar jam 5 subuh, lalu kita bisa naik lagi ke atas untuk lihat sunrise. Sunrise disini keren abissss..... langitnya warna pink, biru & ungu (LOVE IT!)";2;3
